@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
8513,26583,84686
8671,22153,460286
1425,48735,54182
1805,58228,1067904
317,98101,297699
7753,6963,996641
5412,15191,809626
4684,40823,376329
1551,22786,247545
5697,35444,1769220
7753,33545,57394
8671,27849,237314
5728,90190,666255
2153,39241,103578
8639,84810,555664
1172,39558,467309
6393,19621,125603
1,70570,105
9367,5697,156452
855,39241,154541
2880,84810,1862612
4241,1900,110233
4304,66140,244649
8418,38608,778677
3735,7279,252099
5443,70570,426823
7532,68355,280381
4874,87975,47482
1583,72785,319664
4684,19621,148415
9652,62026,19369
7057,24684,67552
2026,26267,415020
5665,7596,5139964
5823,13292,79295
9557,75317,391620
3450,80696,359634
2912,31646,189601
2216,98734,1174968
4463,69937,589376
8893,2849,510571
6899,60760,76336
1298,91772,577281
3956,29431,119440
159,36077,211887
3292,36393,9620
4178,60127,275694
5602,81646,8838
8829,36077,179584
4969,92405,58440
1931,45254,272991
96,61709,462166
1900,1,7524
6583,37659,94799
2817,78165,61075
9937,86709,461536
4558,75633,100004
5823,59178,291861
5538,86076,209041
4716,49368,137351
3102,50317,639882
4431,85127,1605882
444,1583,5066
792,30697,18849
7184,81329,194858
1235,50633,1545034
1330,15507,25685
4209,37659,147678
1267,20570,101764
539,56330,56718
4874,22469,490890
7152,13608,261230
1425,21836,125012
6678,19305,292254
9620,98418,372744
5792,41456,144906
2596,51899,299341
6678,31646,270294
4368,69621,938188
7057,84177,414348
4494,38608,281147
8450,33229,3005807
8766,91772,174014
9082,49051,266477
6076,24051,202147
8038,23102,320854
2343,49368,696634
8734,73418,608363
3640,53481,45214
7785,9811,451857
1298,62659,1637462
5792,45887,3594335
4906,49051,1600101
5918,1900,66663
9462,49368,47738
1805,13608,487663
3861,40823,50323
96,69304,416576
3513,17722,1360655
3672,89241,2441580
9272,95570,25080
7912,53798,384854
4526,47152,4940578
5602,12026,2913574
159,20570,320111
7532,19621,221119
4589,26583,132590
4399,91456,161232
4874,75633,68921
1014,83861,414524
729,33229,101012
6266,99684,628478
7912,5064,119263
6329,57912,35039
8196,27216,238061
7975,92405,279093
5443,71203,107631
2089,85760,353603
4241,65823,495439
4431,56330,17449
7215,13608,78925
539,78481,49018
665,6647,230907
9905,96835,909655
3102,67089,341700
5254,34811,1378394
2817,76266,79402
7310,69937,178993
128,21836,235567
4811,2533,8784
5886,78481,2140137
7184,56646,1152901
5032,47469,963949
8007,23418,268907
1045,28165,2398207
6994,37975,36182
2564,58545,208882
824,91772,60401
4684,89241,4141582
7690,72785,735254
4652,7279,438374
1330,35760,458555
2849,76583,3334
8513,18672,661255
824,32279,15219
3292,79747,289371
1077,79747,606508
2596,97468,110833
665,25317,102968
4115,22786,29850
7026,83544,329627
2532,22153,609424
507,7279,173199
3197,57279,33633
1330,30380,786240
5001,39558,837565
2659,85443,22734
9241,56646,183427
7405,93671,722473
8639,14874,496471
4020,56013,145295
8355,4431,238748
8893,15507,206928
