@relation HistogramEquilization

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
1188,3775,416017616
5348,1195,581383306
3300,2329,754947460
4836,3424,1805394960
1124,178,12298316
2788,2251,598983918
4516,3111,1477823977
3812,765,240617640
4260,3932,1896515316
1252,1117,108746991
3940,687,230608851
5732,3345,2091548505
484,530,18109717
5668,296,125929330
3748,1429,490013515
868,100,6007978
100,2837,16227992
2724,1156,279444832
1060,1508,143711925
3748,2251,852116903
4900,1508,703794250
2340,100,13510712
1572,2876,426875695
1380,3033,390885771
3236,3580,1156319049
3620,3580,1360717543
2212,1586,304656084
3108,608,152489311
996,3854,357989847
5732,3111,1902712313
484,2798,103002362
1444,2642,325765053
2148,2094,403696712
6116,999,555287899
2852,3111,864065481
5092,3306,1850750862
6116,3384,2275931250
4516,2407,1131489056
6308,2446,1649985271
5732,3854,2588690535
5284,2290,1296628361
4516,3424,1620542179
1380,2642,319372281
2852,530,120466378
4900,2798,1471180802
548,1664,65204207
740,2055,124367738
5988,1547,946004188
2852,2602,714844276
3556,960,280903746
2532,1742,405224822
1956,2915,520877913
292,3150,73838206
5412,687,324425912
1380,2251,259942097
2404,2329,507447933
5988,1742,1048478566
3812,1508,553479999
420,3306,109462826
6180,3424,2469041409
2788,2133,605006666
804,2954,209498914
4516,2133,980564688
164,2055,21190717
5156,1664,829706592
3940,569,178472370
2916,178,35962667
2788,843,190287493
5092,3775,2097875887
3684,335,96045486
3428,1195,344750606
4004,3463,1464514372
164,3033,55082711
612,3072,160258174
164,1860,18577577
5028,1664,808303476
4004,3775,1622261010
3172,530,131002251
3556,2876,1033106307
5092,1703,847411122
3108,491,127314515
5796,1899,1124751172
5476,2055,1179114261
6052,921,529762173
5220,1547,769046531
932,2055,166319135
5604,2055,1143818587
1380,3502,515682675
2404,804,156913237
356,413,14653564
1380,2798,364970017
932,1469,107587551
2532,3893,1021227315
3300,2954,1036975244
2596,2563,675105212
4516,1508,667536923
1956,3424,687620173
3236,2876,920155937
4836,843,371480426
2020,2251,415395688
4580,3424,1727374568
3876,1312,482645927
2340,1977,407086797
3940,1703,642909792
3620,374,102832186
4580,2876,1375317035
228,765,12030149
3556,3228,1185381029
5732,882,570369243
4324,3306,1692771580
3748,296,86509171
5604,1899,1313533705
2404,100,16797724
3620,452,126675166
420,139,4008607
804,3502,255856216
1316,2759,351331510
1956,139,19363536
1828,804,123616418
2852,3384,959043240
484,3893,146879837
2340,1469,302703813
356,3033,79009046
5348,3150,1837301207
6436,3893,2904011051
5796,1938,1121234451
4260,3033,1315247625
420,3111,97140190
1572,3775,541493606
5476,1938,1122616850
4900,2290,1159541880
1764,2290,389234314
6372,3111,2130305164
740,530,28097152
3044,2876,850965330
4132,843,279733767
4708,3619,1879291193
5604,491,218532665
932,1860,144541802
4324,687,249678758
4708,1899,895057157
1892,2251,387800269
5284,1860,995423789
4772,3736,2021449136
3300,2993,997241661
4964,765,327847947
1124,139,8796638
6052,2016,1320307147
4388,1547,641690235
5028,1156,524485211
3684,2329,849157124
5604,3345,2275753649
5668,1586,871560827
6052,3228,2264814550
4004,647,211055718
3940,3815,1577963312
1444,2251,275294549
612,2407,120043659
2212,2759,579401613
5732,1820,1051097366
3748,3111,1254120667
6308,3775,2901062727
740,1547,89775991
4196,1547,606279190
3108,217,47927476
3364,3854,1386422100
3556,2524,925059363
5092,1547,737119618
1508,1703,225987587
5156,2094,1090374130
2660,882,193137420
2980,1117,291802387
3428,2642,902662364
4772,2407,1226504796
4516,1625,696913066
3876,491,143613002
5284,1977,1095875125
5092,2681,1552824955
5796,335,143714112
6052,3072,2050594622
4836,2563,1293358987
1892,2485,444666264
1316,3932,485717520
3428,2055,725068692
3684,3463,1337249165
4964,1703,874900779
420,1860,61633326
4708,2407,1184376353
1508,726,88032037
1316,2563,303815831
4324,3228,1470927968
100,843,4661059
3940,647,203268923
2276,2681,590961448
3364,1977,606758244
3940,491,159022362
2020,2211,392771549
4132,2798,1180010645
3492,1312,452088818
4964,960,413684869
5668,335,140893396
1508,139,11932916
100,3463,22099470
4068,1781,689995294
2148,1664,321367152
1444,1390,166394203
5220,452,183627687
420,765,22546493
6052,804,458829758
4516,2329,1072952971
3044,2368,708571479
4004,335,99549314
228,2720,42006228
3940,1820,675677757
2276,2798,590722189
2788,3072,832063983
4772,3228,1714220140
3108,2720,826653368
3364,3815,1373245268
4324,3189,1433910104
3620,1390,470067853
2276,530,104453281
3428,1117,336878541
5220,1117,529289842
2788,687,158477869
2532,960,203324706
932,882,72101951
2212,3893,828113123
1124,1742,163865802
100,999,5165086
5540,2368,1340929106
6244,256,134288138
2020,3384,656236587
4772,608,236401577
548,1860,72341726
1892,2094,338844989
6180,2602,1733072359
2596,1351,312857046
1380,3463,441635505
228,2915,47588419
2660,374,79737103
4772,374,127601458
3428,1547,475744404
2724,1312,314585602
5668,882,413734201
612,3736,186597817
4388,1390,549936260
2788,1625,421328042
2020,647,113764646
5476,3580,2235554075
2276,3658,834614169
2980,843,211138006
3300,2642,900009701
2020,3697,740997850
1828,2368,372763653
3620,3854,1504792782
4324,2251,1062411910
2660,1078,243846902
1060,256,18626870
2404,2446,544641609
6372,3424,2608840922
6436,139,58419869
3620,3736,1405296982
164,2759,36324968
5988,2251,1419993934
804,2720,194031526
2788,1703,420346876
2980,335,76560487
3364,1195,357858976
1252,452,39724706
6436,491,259734686
4644,1156,479464280
1764,1742,272269577
3300,3541,1188589502
2340,296,80224899
6244,3658,2601176027
1380,1742,206904131
5924,2133,1280913598
1060,1820,148239169
4260,2446,1044470431
3940,1508,544927817
3108,1508,432202299
6052,1586,940140168
996,3033,275697609
612,1742,95444473
4324,1469,583528946
4836,2759,1420739219
2212,2251,466587985
3300,2759,942728627
4836,1742,814841281
2852,2798,771535211
4900,3658,1964158965
1444,1195,136680184
932,2524,203424326
5284,1703,900405786
4196,921,332214930
676,3658,209886470
6116,3267,2274369418
2916,726,166861404
4196,3306,1450471367
484,2368,92292503
5796,921,457245510
1444,2446,325484073
3748,999,325339094
2404,2094,460004223
3492,999,291061016
6372,2094,1432566893
2020,3815,804028566
356,217,4227457
868,765,61908081
3492,1625,550871772
4452,3424,1599547907
4260,2133,902973225
2724,217,41073191
2852,2993,916418545
4644,2446,1155269693
3940,726,238538230
1508,2211,318673029
612,882,42913206
4196,960,326362832
3492,2329,795849755
1252,1195,126537687
2916,2290,643712775
3684,413,112329738
3108,3619,1166793392
4708,1625,730364095
6436,1273,775120577
2020,530,105569948
6308,2993,2030202137
4772,999,411520677
3428,1469,475058790
420,999,30836157
2468,2876,687759593
3300,1977,622852083
1636,1469,209933375
1444,3306,451030885
5604,2172,1317306265
164,413,3993307
5028,2485,1348453008
5476,2211,1285415090
1700,3150,500931451
2404,1664,378492168
4580,569,205917529
2084,3424,680420574
2468,2172,480113016
5476,1860,1023029827
484,2055,78429176
1764,960,140699372
4452,2759,1333054831
3236,1977,660268274
3172,1860,553716136
4580,1860,879322839
1892,1508,249739803
1316,726,77968199
4964,2055,1030329565
5668,2602,1555606860
2212,1820,345706418
1380,1156,123704044
5668,2211,1303424664
4708,3306,1763351116
4324,3815,1800559726
2212,3502,756298633
612,217,8103725
1956,1742,297270789
5156,452,182261332
5540,687,316660260
932,2720,235040471
1636,2563,374212461
4772,2329,1152757369
2276,2368,482284934
1956,2016,359669728
3684,3306,1235353016
5796,3893,2522599699
676,3111,177003624
4068,3971,1851966646
6372,765,446761752
2788,2837,783283518
1572,2954,480879004
5604,1820,1022563419
5732,3619,2332623875
4196,1078,381240298
2852,2016,594025509
420,3736,125644628
4068,139,41609404
6244,2993,2071356070
1508,3228,463722604
