@relation FilterArray

@attribute ArraySize numeric
@attribute FilterKey numeric
@attribute runtime numeric

@data
34494,97152,375663
90823,72152,923351
54430,12975,541609
38291,27215,359192
54430,72785,487695
6329,27215,58690
17722,93671,180647
17722,92405,162649
45253,68671,408432
65506,6329,622326
42405,34494,383364
20886,6962,189062
26266,30696,236185
68354,58861,654900
70570,83544,643279
71835,62975,813466
45886,54430,416415
60759,82595,551831
32911,18987,301145
30696,2532,277554
87025,52215,816970
29114,96835,269727
58544,30696,525059
28481,68354,255965
39557,10759,358401
84810,29114,769298
47152,83861,424031
50949,34810,455119
12658,18671,114670
80380,67405,762495
29430,85127,276329
36392,83228,443714
5380,63924,55165
94937,22468,886867
60127,37975,541674
76266,47468,681237
46519,63924,423259
52215,12975,474498
92722,66139,1677574
39873,21203,381607
19304,21519,177964
73101,61709,710973
90506,68671,1222300
85759,28797,969159
26899,80380,288190
79430,81646,846494
89241,89241,1002192
83544,29430,851332
5063,86709,53420
75633,45253,761848
17405,1899,173006
1582,45253,16916
8228,79114,79888
51899,76582,501835
23734,9810,257933
60127,20570,632324
92089,38608,920356
92722,30696,949412
79747,85127,810478
29747,17089,293819
32278,93038,314550
94304,73734,946586
59177,80696,596872
56013,18671,544237
88924,70886,894884
96203,63608,1007455
36076,12658,357052
68671,31013,692450
87658,5063,868629
63291,57911,641730
1899,69620,22633
87658,34177,862054
30696,72152,304198
71203,44304,717526
59494,6013,581318
56646,96519,762332
43038,7278,956236
69304,25633,1063593
50316,1899,617528
55063,59810,784594
41456,41139,586650
54114,55063,542356
41456,22468,408992
99367,38608,1047395
38608,7911,455281
43038,63608,547745
35443,47152,428667
67089,6329,1341040
8544,94304,177947
0,55380,5845
12025,88924,125956
41139,4114,453755
3481,78481,44020
93038,4747,923698
58228,78481,756286
81329,69620,814287
48734,53165,475971
9494,12342,95899
32911,15190,337615
38291,29114,463765
20253,81013,259276
19620,12975,252011
17722,36076,192931
82595,91139,894828
31646,85443,327052
68987,69937,774402
50316,25949,597333
2532,83544,37324
25316,61076,295366
59494,68038,704137
49367,72152,722252
50000,71203,675946
19620,15190,242453
73101,44620,1091528
50633,73734,718730
80380,6646,946295
25000,4430,299492
5696,4747,71358
16772,9177,200176
64873,67405,762982
12658,633,213993
16772,86076,233869
56646,5063,569950
70253,77848,739886
61076,95570,616545
91139,60759,1466685
7595,14557,91527
33861,93354,432028
98101,20570,1419117
