@relation RGBFilter

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
5732,3111,569921475
548,335,6371578
4644,256,35919816
1444,1938,83444717
3748,256,30383506
1124,2798,104815255
3492,3658,392669510
2404,3775,286190911
5540,3893,677652271
2660,3111,257013874
2084,843,61684274
5284,1469,258327081
5220,100,19997892
4324,2681,388892665
2468,100,7033744
5860,3267,622832731
3364,1977,206771506
4708,413,67955452
2532,3580,278044696
5668,999,183908869
5156,3580,613652320
3620,3267,373935726
2020,2368,143956630
3556,1508,166939156
3044,726,74666029
612,3111,57914702
1252,3384,126312220
1252,1625,64735299
4452,1038,145807524
4900,1469,224884595
5732,1977,364621809
1764,491,27323740
6116,1742,340915331
4900,2329,368305474
2596,256,19501955
2724,3541,296729614
6308,1117,212925420
2852,3619,326854709
3876,3541,433620806
676,1312,26035165
3620,1586,180361980
1508,1899,97161919
1828,2837,158929881
1124,256,8082285
4836,3619,553698294
1572,3736,191982763
6180,2251,464425701
3236,843,84832848
4772,452,69658281
4836,3033,450635627
6180,178,33796916
1444,178,9274055
2148,256,15922134
3556,3111,349722009
2724,2251,184330197
1124,1703,59311054
4452,3580,586454416
996,1117,39451851
1956,2954,198162103
4708,1899,283834933
1700,1547,81907073
3300,2759,302195465
2212,2290,151549057
4708,3072,451683943
1508,3736,182572895
3940,882,105947192
164,999,5951517
2084,3502,224517608
4964,1781,272191871
4900,1860,296683050
1188,1820,68867162
1252,3815,143144613
5476,843,146636621
3492,3580,457916722
356,2798,29278299
5028,1938,326818314
5028,178,27724403
1188,2016,72999216
1252,1547,58229936
1316,2485,100477409
420,1429,21931228
228,3893,28523129
3108,2016,200715206
5476,1625,285981899
2532,960,83028347
6436,3697,765411059
3620,1781,239295867
5732,100,16274871
4452,1625,240313102
932,3384,93108502
3364,2915,316743251
868,2446,72465782
1380,3463,146214436
5412,1586,288090853
2340,2485,204094697
4324,960,133254497
4324,2915,398674119
2788,413,33257392
356,3736,42140900
4260,374,46132701
676,3736,87349542
1828,217,13688017
2404,3658,302717242
4388,765,116017940
3364,2055,213187169
1636,3971,207008777
6436,1508,300778068
3876,1860,250550768
5988,2211,404423659
5348,413,65988919
2724,1586,141418350
3876,2172,267953271
6052,2798,554504138
3748,3267,381533395
4196,1234,160166806
2148,1038,73626398
1380,1078,50618813
2468,2524,188054971
5924,1117,213226157
5860,1156,208912086
1444,3619,204842643
2148,3775,298786995
1828,3228,208152723
2148,1977,131913297
1636,1703,86606628
2852,2993,271947273
3428,2172,230999747
2020,1429,86119034
5988,1586,307857007
2596,1938,156838113
1956,1351,85948625
2916,1156,103051465
2788,3619,343091740
3364,2016,233502184
1572,256,13016538
2852,2876,250505184
1508,687,33232552
5156,882,139974937
3428,999,124024600
5732,530,90327580
932,1312,40365385
5988,2954,581700425
4836,960,143952855
5540,3502,600972817
5028,1977,296190750
5924,2485,461561086
4772,2251,354183212
3940,2563,324358743
228,2016,13546573
2212,1664,111791536
5476,2642,445986422
2340,1156,84243683
6372,687,137907502
2980,1899,168182772
4068,843,110047079
1956,647,38468433
2020,2329,149458824
5028,1820,299257108
3428,2876,306325766
676,3580,86228584
356,1899,29416986
5924,2407,489760146
3620,1078,140154872
6180,2720,524344154
1316,1038,40289415
164,3424,17729904
3748,100,11254448
5284,2954,494359335
3428,1312,141360550
2084,3345,220397002
4324,608,81296562
3364,1390,159161605
3620,1390,163021603
5092,2016,322691309
1060,921,30801840
932,3267,97387413
2468,2602,202221753
5028,1664,262523207
1764,256,13698867
3748,3072,357701198
4964,2915,455078010
1636,2524,129969396
676,2720,66359004
2276,1312,143182180
4964,3580,616776572
3492,2876,328646967
996,1508,44580597
6052,2211,438691186
5604,3189,597340377
5540,1078,245730915
5028,843,127852952
3620,2993,365921459
5028,1860,285274298
5604,217,37525581
4260,2798,392793197
548,2485,39893537
484,726,11139507
4388,647,90376739
1060,804,24814381
3684,1899,217620312
5348,2133,364049096
