@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
3,10,136465
17,10,186537
3,10,186512
18,10,161364
8,11,325779
2,10,135108
24,9,73983
18,10,162747
20,10,146809
7,10,129994
6,10,143408
5,10,174598
9,10,289546
28,11,328462
0,10,160594
19,9,67423
19,10,161411
27,10,156070
6,11,355927
20,11,326210
10,10,162292
22,10,160649
27,10,142295
17,10,158441
6,9,126281
23,10,251984
28,10,243085
22,10,183257
24,9,103229
2,11,325272
0,10,133793
22,11,324636
1,11,337864
14,11,321285
16,10,212404
4,10,158399
17,10,275324
6,11,453660
0,10,251451
13,11,353817
3,11,331973
19,10,222970
16,10,209919
8,11,373926
13,10,170709
2,10,190656
11,9,105106
10,10,216100
22,10,163728
5,11,322988
8,11,326240
25,11,329469
9,11,353776
11,11,600465
15,11,348828
2,11,353233
16,9,105168
7,11,347843
5,11,403543
9,9,178009
2,11,378446
26,11,355408
8,9,156850
9,10,373711
4,9,123185
22,11,322068
15,10,149355
29,11,533445
15,11,327960
19,11,374616
2,9,120776
22,11,322978
23,10,167743
7,11,406324
17,9,139490
22,11,356742
6,10,192720
12,10,181625
26,10,197520
3,10,258892
12,9,125775
28,11,339185
21,10,181735
7,10,198343
29,11,358172
0,10,179779
20,10,162515
18,9,80155
26,10,164718
17,10,190404
14,11,331789
19,9,154411
19,10,185342
25,10,438579
6,9,178995
24,9,164580
4,10,262684
15,10,320520
24,10,273941
12,11,447821
8,9,123584
23,9,175484
12,9,122843
9,11,354911
12,10,195282
9,11,369686
14,9,116869
23,11,391390
26,10,175853
26,11,361579
26,10,204635
25,10,181613
4,9,119143
28,10,191186
9,9,120591
16,10,264147
6,11,613529
5,9,147907
29,9,126268
23,10,179162
8,11,320098
24,10,150149
4,11,353026
3,10,192814
26,9,155575
5,11,325703
17,11,372290
14,9,112723
24,10,265981
19,10,163028
10,10,274807
16,11,336393
6,9,104527
7,11,359248
23,9,110359
27,10,234415
30,10,155254
26,11,428271
4,10,219535
13,11,328530
21,10,152096
8,10,159125
5,9,129555
7,11,330779
2,10,144429
0,10,274548
23,11,577730
2,9,139355
28,11,329965
4,9,82610
18,9,72160
28,9,89436
19,10,130839
3,10,166026
16,9,89024
14,11,593348
8,10,175003
20,10,194186
24,11,589369
16,10,222935
13,10,264905
22,10,164189
22,10,249595
4,10,159147
10,9,81127
20,9,63329
28,10,154477
9,10,154848
11,9,63609
9,11,370532
30,10,141383
24,11,368955
14,10,169905
10,10,235827
0,11,329824
22,11,480260
11,11,376530
25,10,156072
3,10,188868
5,11,570058
12,10,184887
26,10,375501
29,10,178677
0,10,222893
19,10,162090
6,10,154808
9,11,357361
6,10,238459
8,11,314814
19,9,99697
24,9,79173
14,11,341716
5,10,158120
15,10,137050
5,10,125374
2,9,60905
9,9,65870
30,11,309574
12,10,247302
16,9,97854
13,11,327222
14,10,119330
4,9,71817
16,11,329977
2,9,142875
8,9,132753
