@relation SortArray

@attribute ArraySize numeric
@attribute runtime numeric

@data
4064,255005
4421,272487
2783,171514
7737,531626
4337,275021
3425,201732
7427,498958
9973,790389
6988,465721
4978,409083
4713,350589
3547,220469
3434,207254
2676,160414
9536,652553
6304,418823
6463,423557
6785,450478
605,30697
7690,520007
9323,640945
8817,764315
6148,408206
5177,332863
2066,181041
6830,459400
3786,234816
8650,795025
7412,498557
6564,428301
7239,564726
1680,93852
5157,439574
4660,364662
9583,844295
834,54862
9707,864146
525,34102
9911,882816
6424,538761
6572,589591
146,6507
1234,76609
6952,568998
5451,421684
5604,1388024
9405,906644
9934,879569
9971,1711518
7521,623698
3602,283163
2988,224724
7338,3087827
4925,394002
2931,480053
2979,233937
2731,181246
4489,331619
3815,399931
3490,293364
7740,834626
1383,565588
6643,546102
6528,1295910
5679,456971
5696,658557
6744,599221
8845,1068160
1698,795101
5013,426307
3436,271146
7075,607680
9671,1090794
587,35960
7844,640828
203,9527
4538,351822
6303,508246
4910,413779
3561,275365
6412,526230
6641,565241
4617,369111
9260,5015083
2978,215689
6397,590602
8211,666704
336,20929
1097,68604
2367,168276
6669,571235
3184,222255
1571,100589
7995,736472
5998,536126
3041,233555
4454,325844
8130,4288466
6311,575053
2973,697458
5727,479646
4808,517365
6112,546450
4614,401339
250,12446
5700,498329
4264,342905
7419,734304
9042,1301448
7056,568945
6912,6547254
4749,376955
5057,402178
5203,419900
2492,178564
4550,363825
9706,857605
6482,530746
513,32697
6500,539124
8387,753014
393,27347
8388,5634978
6279,560855
9601,866929
3486,357949
296,17697
4213,354498
6320,563503
1566,272462
171,8712
1617,124192
7466,2260347
1923,140919
8319,865282
1570,109645
4095,408398
6160,476396
3861,284684
2615,183996
7196,557069
1660,112259
3377,253316
9594,828232
3351,260593
7392,599494
5451,446402
7649,620633
6100,542740
8156,852001
2265,152059
8972,1426252
3828,302443
366,22319
6068,855007
6700,546377
1862,125366
6006,724772
5367,431724
6155,628776
3972,318335
6395,513043
8919,748425
4770,372294
1732,119653
2882,220654
3942,305663
5711,450435
6296,518577
9248,821132
767,50022
8605,1511217
1980,308852
9203,819445
5749,515042
6761,711484
1119,79859
9878,874855
6645,575777
2195,164794
