@relation ScaleImage

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute ScaleFactor numeric
@attribute runtime numeric

@data
5045,3477,1.55,834111852
973,2588,2.340909,268892988
3591,1700,0.495455,30715060
100,811,1.154545,2160257
1264,3477,0.231818,6461337
1264,2410,1.286364,102220628
5918,278,2.604545,220401162
4464,2944,1.418182,525563119
4173,989,1.418182,155476268
2136,3655,2.340909,840649848
391,3832,0.495455,6819654
973,1522,0.363636,3616736
4464,1344,1.55,288391219
391,3832,1.022727,33124399
1845,3832,0.890909,110510914
5336,3121,1.418182,637296327
5045,3477,1.681818,970448662
682,3477,2.472727,288800683
1845,3121,0.1,1242775
5627,1344,1.154545,194758086
1845,100,2.077273,14536984
3300,278,2.472727,109733548
1555,1166,2.604545,238053010
1264,989,1.681818,71241786
973,278,0.627273,1927393
4755,2944,0.363636,37107575
3882,2410,1.813636,614392182
5918,811,2.868182,780676188
3882,811,2.736364,466813798
1264,1166,1.681818,84254954
5045,2410,1.022727,255877225
3009,2588,0.890909,118166125
3591,811,1.55,138711755
3009,3477,0.759091,110741228
3300,3477,1.154545,324339828
682,3832,1.286364,84632533
973,3121,1.681818,160213119
391,989,0.1,140777
3591,989,2.340909,417189578
2718,3121,0.363636,20391347
391,3121,0.890909,19950744
5045,1700,2.736364,1286023188
5918,1166,1.418182,273911494
3300,455,1.154545,36229553
4755,3655,2.077273,1487237162
682,3655,1.418182,97303482
3009,278,2.340909,94473337
2427,2766,0.890909,105463504
3591,2055,1.681818,412768376
3882,1522,0.890909,91246762
2136,3121,2.472727,803489180
100,3121,1.681818,18608359
1555,1344,1.154545,55507596
2136,3121,2.209091,647734185
391,1700,2.736364,95134920
3300,2588,2.736364,1269354659
4173,811,0.627273,37266027
4173,2233,2.868182,1487605353
3009,2944,0.231818,8765689
100,811,2.209091,9368103
2718,1166,2.604545,422632070
391,3832,2.604545,195212707
1845,2944,1.022727,113739566
2718,278,0.231818,798533
100,455,2.340909,4537633
1264,1522,0.231818,1989366
3009,2055,2.209091,585038686
973,1700,2.472727,198565107
973,2766,1.55,133429689
2718,2055,2.472727,673701346
2427,811,1.022727,42517199
973,3477,2.472727,399520177
2427,3477,1.945455,662462974
1264,633,2.209091,80118464
5336,2588,1.681818,777312747
5918,1700,1.813636,685499847
4173,633,0.495455,12423695
973,633,0.231818,677694
5045,3832,0.890909,300677448
391,1344,0.890909,7780937
391,455,2.736364,26689383
2718,2588,0.1,1449826
1845,989,2.736364,266171940
5918,100,1.55,28226715
1555,1344,0.759091,23297068
5336,100,2.209091,51760635
1845,2766,0.759091,62246750
3009,633,2.209091,180191127
100,2410,2.736364,36072828
3300,989,0.231818,3251827
2718,1700,1.681818,256442829
5336,3832,0.1,4110245
