@relation Fibonacci

@attribute FibonacciNumber numeric
@attribute ComputationMode numeric
@attribute runtime numeric

@data
31,1,431
26,1,265
11,2,657
14,0,146
33,1,196
5,1,133
30,1,116
25,1,153
11,1,303
34,1,121
10,1,338
20,1,189
23,1,224
18,2,16031
14,1,297
3,2,116
6,2,144
12,0,113
20,0,150
2,1,386
19,2,25849
19,2,25777
39,1,287
31,1,124
1,1,78
8,1,196
23,0,164
21,2,67396
24,1,120
30,0,173
23,0,162
9,1,236
33,1,139
16,1,173
2,2,110
32,1,119
2,2,63
5,1,120
34,1,122
35,1,182
31,0,186
16,1,211
24,1,123
14,2,2438
28,1,203
31,0,182
32,2,14656747
39,1,1697
27,1,267
32,2,17235272
34,1,1349
10,2,538
7,1,281
19,0,405
4,0,73
26,0,164
28,0,168
4,1,138
17,0,118
10,0,86
12,2,1041
19,0,135
26,0,158
36,2,102669747
28,1,5341
12,1,376
5,0,435
36,0,224
24,2,377757
7,0,730
4,2,207
30,2,6429203
11,2,1226
26,1,4622
10,2,602
24,0,573
16,1,393
38,2,280650954
33,0,667
5,2,694
28,2,3401188
19,1,4023
5,1,410
31,1,330
28,0,263
14,2,2567
37,1,337
3,1,363
27,2,1207834
26,2,746463
21,1,302
5,2,170
20,0,176
25,1,256
19,0,141
15,1,319
27,1,244
33,1,191
25,1,117
31,0,187
23,1,285
13,1,262
23,1,122
17,0,142
2,0,77
36,1,208
20,0,153
3,2,132
1,0,77
28,2,2057808
7,0,148
32,2,14344433
40,2,727327388
12,2,1627
28,2,2014472
19,1,4055
35,2,63599014
32,1,4185
6,0,417
35,2,64498858
31,1,4199
30,1,168
8,2,564
20,1,311
6,1,349
11,1,315
12,2,1005
5,2,155
27,2,1212907
24,1,379
4,1,268
24,1,218
20,1,123
24,1,119
31,2,11958492
9,0,1024
18,2,17696
16,1,8601
16,1,156
18,0,154
7,1,759
6,1,158
7,0,107
2,1,964
14,1,545
28,2,2593085
24,0,546
25,1,6028
14,1,407
40,1,603
31,2,8418318
30,2,7107174
27,2,1463377
37,0,620
5,1,3720
39,0,226
24,1,432
23,0,146
21,1,188
2,1,406
5,0,115
35,2,60091677
12,2,1139
27,2,1230162
7,1,4175
22,1,388
37,2,168548168
24,1,4677
37,0,611
9,0,120
27,1,2146
35,1,847
2,1,531
25,0,355
20,0,214
16,1,285
39,2,443641191
31,1,3902
40,1,591
37,1,182
7,0,371
35,1,348
9,1,347
36,1,124
15,0,133
34,1,122
1,0,70
24,1,300
1,1,75
31,0,194
3,2,280
27,1,334
30,0,176
2,2,107
40,2,723036298
22,2,117677
4,1,4256
21,2,72751
22,1,457
2,1,487
6,0,757
21,2,72695
1,2,81
32,1,365
13,1,257
19,1,227
13,0,148
36,1,362
36,1,142
26,2,883298
26,0,560
36,2,107056521
33,1,5147
27,1,408
23,1,209
18,0,544
22,0,147
1,1,84
8,0,89
35,2,65196006
27,0,541
22,1,3689
35,1,569
28,2,2042465
15,2,3871
31,2,10908052
22,2,109091
18,1,1475
16,1,611
21,1,122
39,2,451090121
37,1,5509
4,1,353
10,1,311
19,2,28390
28,1,434
16,1,290
37,2,178006210
2,1,4015
21,1,430
1,1,75
10,0,393
39,0,211
25,1,316
13,1,259
1,1,55
25,1,132
1,1,56
12,0,110
32,2,14495026
6,0,481
1,1,330
26,0,194
13,1,30758
9,1,703
2,1,459
22,0,273
23,1,396
12,2,1738
38,2,264432319
27,0,812
30,1,6681
23,0,174
23,2,191044
38,1,571
8,1,463
9,1,171
32,0,248
25,0,175
29,0,192
30,1,327
21,1,231
22,1,252
37,2,166237479
29,0,522
6,1,4039
20,0,145
11,2,891
35,0,207
24,0,149
22,1,486
28,1,334
26,1,428
23,1,183
21,2,67478
37,1,288
34,1,197
14,1,180
25,1,120
7,1,115
34,0,201
13,0,107
14,2,2460
8,2,214
12,1,226
8,2,197
28,2,1954160
30,1,194
18,2,16000
6,2,159
17,1,262
17,2,9951
19,2,25816
23,0,152
29,2,3632916
36,2,103949731
2,1,4139
15,2,4117
19,1,590
31,1,350
38,2,277934063
15,1,4160
34,2,40091671
34,2,36693550
7,0,463
4,0,72
28,2,2115477
21,0,208
4,0,72
30,1,4189
36,1,474
26,2,746582
4,1,404
19,1,355
7,1,227
27,1,265
25,0,193
8,1,183
24,0,142
33,2,24192623
2,1,4191
13,1,376
21,1,294
29,2,3344206
18,2,16146
26,1,1394
10,0,423
22,1,265
2,1,141
10,1,215
6,2,215
27,1,326
19,0,165
26,2,746676
17,0,136
26,1,124
39,1,378
9,1,187
24,1,184
5,2,146
24,2,294239
9,1,344
35,2,62309510
3,1,4163
29,1,366
31,0,461
38,0,208
37,1,316
15,0,109
23,1,353
22,1,333
34,0,218
3,1,141
14,1,300
28,1,195
23,0,150
35,0,206
10,2,622
9,1,198
18,2,16031
32,1,326
1,1,79
29,2,3306685
15,2,3969
33,2,25807914
4,1,3919
28,1,427
40,1,292
25,1,229
23,0,433
4,2,309
13,0,153
1,1,103
2,1,667
35,0,205
9,0,107
13,1,318
29,0,187
31,1,260
38,1,222
35,1,1898
13,0,298
28,2,2195699
5,2,332
19,0,546
25,2,470412
26,0,175
30,2,5268369
10,0,846
10,1,5650
37,1,371
16,1,351
38,2,283423892
5,0,412
31,1,4114
26,1,347
20,1,238
31,1,119
27,1,236
24,0,171
28,0,211
32,1,270
25,2,471878
20,1,319
16,1,220
33,1,127
6,0,96
28,0,184
17,1,199
14,2,2469
22,1,359
4,2,142
28,2,1982337
37,2,159959326
6,1,3949
34,2,37067250
5,2,459
29,1,6675
5,1,1088
14,1,648
31,1,311
16,1,228
11,1,281
17,2,9997
5,1,133
31,0,449
12,1,192
19,2,172927
20,0,145
25,1,352
16,2,9330
19,2,29921
8,0,212
3,1,1974
27,1,259
12,0,133
20,0,149
26,1,156
38,0,224
7,2,217
21,0,167
4,1,292
12,2,1150
16,1,152
16,1,144
30,1,158
25,2,473723
5,2,144
7,1,307
35,1,379
22,1,298
2,1,199
15,1,257
31,1,125
25,0,180
5,0,83
18,2,16033
2,1,125
3,1,120
25,0,152
40,2,730413177
7,1,4913
31,0,545
27,0,160
31,2,9358801
36,0,538
11,1,3759
7,1,311
27,0,166
39,1,378
29,1,411
20,1,295
39,1,128
11,1,117
13,1,220
5,2,406
38,1,194
23,0,177
16,1,162
19,2,25873
16,1,241
6,0,103
35,0,203
16,2,6202
35,2,63575493
34,0,528
32,2,15514743
9,2,661
38,1,8604
18,1,881
28,0,736
29,1,542
35,1,426
16,1,679
24,2,313383
39,0,254
5,1,2978
38,0,240
37,0,221
24,1,377
9,1,712
38,2,268269394
15,1,4561
16,0,402
12,2,1150
29,0,178
32,1,573
8,0,83
27,1,234
7,0,80
3,1,514
19,1,333
5,0,86
2,1,215
21,1,202
28,2,2070218
18,1,1752
2,0,173
15,2,4287
1,2,72
33,0,259
35,2,63990370
1,1,465
18,0,354
33,1,4161
12,0,114
12,0,94
10,1,478
26,0,166
30,0,170
16,2,6334
30,2,5646576
30,0,581
20,1,3675
15,0,131
21,1,539
25,2,510317
34,0,289
27,2,1435221
12,0,672
18,1,6688
23,2,270632
2,1,2311
39,2,432764100
30,0,876
12,1,6602
8,0,95
1,2,135
11,1,14441
29,0,182
15,1,633
24,2,377975
19,1,2602
16,1,214
9,0,198
22,1,407
30,2,5397832
14,2,2646
38,2,282802955
2,1,3696
22,1,568
26,1,257
17,0,383
4,0,78
19,2,28105
5,2,195
28,1,306
2,1,203
37,1,317
12,1,232
20,1,253
24,1,190
4,1,236
27,1,205
26,2,803985
10,1,300
37,1,126
22,0,179
26,1,202
39,0,236
13,1,324
14,1,208
20,1,129
2,2,117
8,2,284
37,1,127
13,1,131
35,1,267
30,2,5694255
27,1,3469
14,0,390
11,1,448
2,2,255
9,1,272
40,0,243
8,1,421
18,1,247
27,1,124
5,2,239
14,2,2638
36,0,238
4,0,85
1,0,80
15,0,135
30,0,198
31,2,10667098
18,2,17427
24,1,3508
4,1,796
37,0,457
7,0,113
17,0,136
35,2,66471543
29,0,1356
9,1,5334
28,1,443
38,0,215
8,0,99
3,1,486
6,2,648
2,2,117
26,0,200
36,0,209
14,1,502
6,1,328
3,1,125
32,0,190
12,1,195
19,2,25906
7,2,169
28,1,261
1,2,88
27,1,280
38,2,277274878
23,2,271590
22,1,8236
40,1,620
35,2,63114868
8,1,3945
6,1,204
24,1,399
30,1,283
15,1,288
13,1,289
6,1,119
29,1,183
28,1,119
31,1,182
16,1,118
8,1,116
12,0,358
30,1,233
3,1,391
24,2,285361
7,1,134
36,1,305
12,1,121
7,1,118
37,2,167044522
17,2,18582
12,1,13415
31,0,1788
6,2,411
6,0,222
26,2,900242
21,0,807
5,1,9262
38,0,237
15,2,4894
33,0,213
13,0,161
30,1,1466
13,1,540
40,2,706580837
21,2,68373
1,1,513
2,2,107
11,1,5559
19,1,460
14,1,285
35,1,570
36,2,117335356
8,1,5471
20,0,583
24,2,308810
27,2,1421410
27,1,2570
14,2,2698
7,0,218
23,2,189866
14,0,154
10,1,481
38,0,226
21,2,72648
30,1,313
6,1,210
33,0,212
6,1,142
9,1,280
24,1,236
16,0,156
10,1,244
21,2,72614
6,0,100
23,0,160
2,1,382
5,2,163
38,0,238
29,0,184
34,1,236
26,2,864863
6,2,220
15,2,4172
10,2,471
25,2,496850
23,1,920
20,1,183
11,0,133
26,2,803899
34,2,41294093
11,0,418
13,2,1901
17,2,9892
20,1,3335
5,2,150
11,0,103
4,2,110
15,0,123
5,1,394
37,1,350
26,1,286
16,1,213
15,0,149
28,2,2010250
35,0,335
8,1,1374
16,0,137
30,1,293
3,0,85
31,2,10086889
33,0,630
28,0,184
8,0,82
13,2,1884
17,2,10671
4,0,91
17,1,4249
5,2,149
38,1,399
1,1,93
26,1,306
27,0,235
11,0,110
35,1,14106
26,2,1057069
15,1,1667
35,2,65835568
7,1,3731
24,1,318
4,1,255
18,0,501
5,0,78
12,1,315
2,2,269
17,1,203
36,2,109229215
6,1,5585
20,0,622
40,1,586
14,1,532
13,1,534
15,1,838
12,1,218
14,1,203
12,2,1998
37,1,283
14,2,4254
14,1,241
19,1,515
2,1,523
17,0,295
38,2,272750903
28,1,4008
14,1,419
7,0,359
26,0,179
17,0,113
4,1,295
4,1,130
2,1,411
26,1,7918
31,0,195
37,0,204
23,1,1416
16,2,6373
25,1,146
36,1,347
15,0,118
9,0,91
5,0,86
16,1,253
