ImageWidth,ImageHeight,WantedImageWidth,WantedImageHeight,runtime
4580,882,1380,491,3711
5860,2837,2020,3619,4086
100,2446,5860,3228,7838
3300,3228,3300,2446,3848
2020,2446,3300,2837,4241
3940,2055,5860,100,4013
2660,2055,1380,2446,4136
2660,1664,4580,2446,4088
1380,100,2660,882,3797
3300,1273,4580,882,4967
5860,1664,3940,2055,3849
5860,3228,1380,3619,3849
3300,882,2020,3228,3944
2020,100,740,2837,3168
3940,1664,1380,1664,4161
100,100,3940,1664,3042
3940,2837,2020,3619,5631
3940,3228,740,3228,4407
5860,2055,100,3228,4610
3940,2837,2660,3228,4716
2020,2446,100,3619,4273
4580,2446,4580,2055,4793
5220,882,1380,2055,4664
3940,3228,2020,1273,4143
100,100,100,1664,3064
4580,2055,3300,882,5456
100,2446,5220,2837,3380
740,1664,740,882,3549
100,1664,3300,2446,3406
3300,1273,740,882,4045
740,882,3300,2446,4660
3300,2837,1380,1664,3821
2660,2055,5220,2055,3568
5860,2446,100,2446,3780
5860,2446,3940,3228,4107
5860,2446,2020,491,4317
2020,100,1380,100,3532
2020,2837,2660,3619,3947
4580,3228,5860,1664,4108
100,1664,2660,3228,5850
2020,1664,100,2446,4348
740,2055,740,100,3890
2020,882,3300,100,3777
5220,2446,1380,1273,3834
5220,3619,4580,2837,5393
3940,2446,2020,3619,4298
3940,3619,740,3228,3713
1380,3619,100,2055,3894
5860,2446,5220,3228,3739
2020,2055,3940,3619,4340
4580,882,4580,3228,4336
3300,3619,740,1273,3814
5220,491,2660,3619,3857
2660,491,2020,882,4426
740,2837,740,2055,4018
5220,2055,5860,2446,4614
100,3228,3300,882,3786
4580,1273,4580,2446,3807
3300,2837,1380,3619,4385
740,2055,2020,2446,3666
5220,1664,3940,100,4374
740,1273,2020,882,6350
100,2446,4580,2837,3846
1380,2446,5860,2837,6370
2660,1664,2660,2055,4535
2660,491,2020,100,4365
4580,3619,2660,2837,4412
1380,2837,3300,2446,4573
100,1664,5220,1664,4064
4580,3228,5220,1664,4310
100,2055,2020,2837,3863
1380,3228,3300,1664,3867
5220,2446,5860,2055,4152
1380,2837,4580,1664,3799
5220,100,3940,1273,3742
4580,3228,3940,3228,4332
100,2837,1380,3619,3622
740,1273,4580,2055,4576
4580,2446,740,1273,4645
2660,1664,3940,2837,4310
2020,100,1380,1273,3164
2660,100,1380,2837,3387
1380,3619,3940,1664,4269
100,2446,1380,491,4219
5220,100,100,2446,4255
4580,1273,5860,100,4321
1380,882,3940,3619,4419
740,882,3300,1664,5865
100,882,5860,100,3657
3300,2446,5860,2055,3860
2020,1664,3940,1273,3954
3940,2837,740,100,4033
4580,1273,100,1664,6208
5860,491,100,2055,4287
740,100,100,1664,3370
100,1664,740,491,3637
3300,2837,100,2055,3762
3940,3619,5860,882,4071
3300,3619,1380,1273,4469
2020,2837,100,100,5175
100,3619,4580,1664,4033
1380,3619,3940,1273,5237
2660,2837,3940,2446,4215
5220,2837,100,882,4467
1380,2055,2660,3228,5818
2660,3619,740,2055,6121
740,882,1380,3619,3747
100,1273,100,491,3690
100,3619,4580,2837,3548
5860,100,2660,2055,4222
100,491,1380,3619,3347
3940,2446,5860,882,4265
3300,882,4580,100,3813
2660,882,1380,882,4346
100,3619,1380,1273,4140
2660,2837,100,882,4037
4580,3228,5860,3228,4590
2020,2446,1380,2446,3789
2020,100,3940,1273,5480
4580,3619,3300,2837,3989
2020,3619,1380,491,3927
100,2446,100,882,4198
1380,2446,5860,3619,3902
3940,3228,2660,3228,3916
