n,m,runtime
2,1,86
2,2,93
1,1,74
2,1,86
2,2,95
2,2,93
2,2,98
2,1,120
2,2,91
2,1,72
2,2,93
1,1,72
1,2,67
0,2,59
2,0,75
2,1,90
2,1,80
1,3,103
1,1,71
0,3,61
1,1,67
2,3,154
3,2,1038
3,0,92
1,1,70
2,2,90
3,2,1059
1,1,105
1,2,60
1,0,58
1,2,61
2,1,90
1,1,64
1,2,66
1,1,64
2,2,89
1,1,60
1,0,90
0,1,60
2,1,84
1,1,65
0,0,53
0,1,55
1,1,60
1,2,68
2,1,88
2,3,145
1,2,114
1,0,58
1,3,77
1,2,60
0,2,75
3,3,5448
2,1,91
1,0,60
1,2,50
1,2,51
0,1,98
1,2,54
1,2,72
2,2,110
2,3,145
2,2,103
2,3,138
3,1,276
0,3,54
1,3,75
1,1,107
0,0,59
2,1,88
1,1,64
0,1,55
0,2,50
1,1,60
0,2,54
3,0,83
2,3,140
3,1,380
0,1,70
1,0,59
2,2,149
1,2,79
3,3,7286
2,1,108
1,2,67
1,3,94
3,1,396
2,0,107
2,3,165
3,2,1353
1,2,70
2,2,161
0,0,74
2,2,167
0,1,65
0,2,53
2,1,129
1,1,165
0,2,87
0,0,67
3,3,36581
1,2,66
1,1,68
2,1,119
3,1,431
2,2,162
1,2,84
3,3,7956
2,2,126
2,1,89
0,1,67
1,1,67
1,1,76
1,0,168
2,2,130
2,3,195
3,2,1440
3,3,8159
3,3,7700
0,3,68
2,2,160
2,1,109
2,2,136
1,1,95
1,0,93
3,2,1529
3,0,112
1,2,114
1,3,114
2,0,98
1,1,87
2,1,154
3,1,403
2,2,163
1,1,75
2,3,219
2,1,121
3,3,7618
1,1,91
3,2,1641
1,2,100
1,1,75
3,1,351
2,0,100
1,3,109
1,1,81
3,1,411
2,0,144
1,1,92
2,0,89
0,1,74
2,2,196
1,2,91
2,2,161
3,1,409
2,2,160
1,2,103
0,0,115
2,1,117
0,1,60
1,2,90
1,2,101
3,3,7831
1,1,88
2,1,113
0,1,75
3,1,391
1,1,123
1,0,92
2,1,130
2,1,117
1,2,99
3,3,7615
1,3,87
0,0,85
1,1,78
2,1,127
3,2,1823
1,2,98
2,3,223
2,2,162
0,0,74
2,2,162
1,2,88
1,1,99
0,2,66
0,1,72
3,3,7580
0,3,71
1,3,101
0,2,77
1,1,97
1,1,76
3,2,1609
1,3,110
2,1,118
3,1,409
2,3,263
1,3,124
3,2,1662
3,2,1640
1,2,85
3,2,1618
2,2,128
2,3,178
1,1,99
2,0,95
2,0,123
1,2,82
3,2,1776
2,1,102
1,3,98
2,1,94
0,2,73
3,0,134
2,0,80
1,0,75
0,2,116
1,3,115
0,3,73
1,1,90
2,2,169
2,2,150
2,2,135
0,2,66
2,1,111
3,1,396
0,2,106
2,1,129
2,1,84
2,2,162
2,1,103
2,0,95
2,3,240
1,3,111
1,0,80
2,2,135
3,2,1671
1,1,85
0,2,67
1,1,71
1,2,80
1,2,83
2,3,188
1,2,103
3,1,380
2,1,103
0,2,100
0,0,56
1,2,91
2,1,95
2,2,162
1,2,84
2,2,141
1,0,83
3,3,7846
1,2,73
0,0,109
3,2,1771
1,1,99
2,2,151
2,2,149
2,2,159
1,3,112
2,2,161
0,2,68
1,1,91
1,2,142
1,0,64
3,2,1666
1,2,69
1,0,66
0,3,76
3,2,1463
2,2,123
0,3,67
3,3,7271
1,3,135
2,1,123
1,2,69
1,2,77
2,3,190
2,2,150
2,2,143
2,1,126
2,1,108
1,2,85
0,3,108
0,3,58
0,3,65
3,2,1610
3,3,7672
2,2,149
0,1,63
0,2,60
1,3,105
3,1,423
2,3,252
2,0,103
2,1,123
2,1,116
1,2,95
3,2,1633
2,0,76
1,2,79
0,0,78
2,2,150
1,3,141
1,3,90
1,2,66
1,1,95
0,1,69
0,0,60
1,2,53
1,0,75
2,3,209
3,3,7847
3,1,463
3,2,1531
2,2,152
2,1,141
0,1,75
1,3,88
3,1,395
0,1,58
2,3,202
2,2,126
2,1,176
2,2,147
1,2,82
0,2,67
1,2,85
3,1,335
2,0,79
2,1,114
1,2,67
0,3,57
1,3,140
2,0,86
0,1,73
1,1,85
0,0,69
3,0,135
1,2,95
3,1,422
0,2,66
2,1,134
0,3,119
3,2,1554
0,0,66
1,2,78
3,1,368
1,2,92
2,0,93
0,3,68
2,0,60
1,2,90
3,3,7437
2,0,84
1,1,92
2,0,77
1,2,71
2,1,120
0,2,64
1,1,74
1,2,88
1,2,81
0,0,108
3,1,404
2,3,207
1,1,91
1,2,78
2,2,149
2,2,152
1,2,61
3,3,8019
2,2,138
1,1,138
2,1,131
1,2,74
2,1,100
1,3,100
