ArraySize,Key,runtime
10127,69304,121
25316,48418,144
39557,35127,1147
23418,45253,1240
55063,69937,1414
13924,25316,1313
71203,21519,1523
17405,63924,349
1266,68987,194
84494,61709,3191
24051,26266,345
91772,54430,947
68671,28481,1612
99684,95570,1539
96519,60759,1288
4114,63291,160
29430,2215,195
15823,90823,346
45886,57595,279
48101,48101,3789
44937,41456,6252
16139,16772,967
77215,26582,2487
86076,56013,2353
93354,68038,2230
78797,79430,814
80696,80063,1186
35443,46519,428
82911,12342,646
78797,93987,1965
41456,1266,1858
5696,51582,625
93671,81646,4249
12025,37658,301
16772,60127,2474
50000,92722,2231
88924,81329,1613
59177,26899,2525
72152,81962,827
44620,86709,167
66139,74367,938
38924,37658,1597
74367,93038,1312
22468,56646,514
50949,68987,1278
20886,32595,169
31646,23734,1203
6013,54430,721
90190,14557,6731
18987,11392,3170
78481,17089,4143
44620,31646,680
3481,88291,100
43987,11709,1042
89557,633,760
11076,98734,183
70253,84177,1338
57595,21835,2310
57595,77848,2781
59810,26899,506
62025,31013,163
48101,86076,1087
24684,89873,465
34177,73101,4051
83544,63291,496
44304,36076,1084
10127,67405,121
11076,39241,283
6646,30380,101
69620,6013,190
6013,18987,101
58228,86392,923
32278,21519,197
94304,25000,1992
12975,63291,201
30063,76582,197
15506,56962,2729
65506,60127,1165
64241,99051,619
99684,75000,2328
21519,97785,173
91772,6013,3234
32595,70886,3302
2532,60443,730
54114,9494,531
3165,27848,111
36076,21203,155
30696,22468,1049
28481,17089,293
83544,71203,193
50949,87342,942
32595,66139,140
25316,97152,116
46835,31962,125
77532,23418,934
77532,99684,838
35127,9810,1896
39873,2848,1928
81962,12025,26397
59494,94304,981
68354,68987,2119
71519,28165,43758
76582,9810,2061
86709,30380,1064
47785,35759,228
72152,49367,229
25633,9494,130
3165,99051,379
85759,87342,304
24051,58861,114
98734,30696,5500
69937,29114,1115
92089,11709,2014
54430,54747,2400
11076,76582,1266
23418,76266,370
84494,13608,3593
0,63924,324
12342,56962,112
1582,53481,100
16139,80696,209
76582,34810,1956
95886,65506,2269
14241,40506,160
62342,72785,716
74051,2215,6364
31962,96519,1013
48101,34177,629
76266,39241,178
61076,28797,1071
19304,90823,226
6646,68354,97
77848,22785,456
12658,62658,127
30063,32278,1507
50316,21835,627
34494,48418,901
85443,18354,1634
11076,84494,121
9810,51899,116
75633,43354,2056
37342,5696,297
5063,9494,879
38291,46835,965
0,66772,159
50000,12342,1654
73418,6013,4627
57278,69620,981
59177,82911,956
20570,43671,170
95570,57911,244
50000,94304,171
49051,3481,133
18038,15506,117
29430,27532,124
76266,29430,1802
78797,81962,1171
61076,17405,3229
87975,98101,1276
37342,66772,207
44304,22468,1226
93671,11076,3311
23734,65506,193
6646,9810,1518
66456,64241,1303
59494,62342,1670
28797,9494,283
6646,87025,323
77532,23101,288
74367,90506,1012
70253,28481,224
25949,47785,466
39557,29114,1344
40823,46519,2890
66772,31646,2043
78165,49051,3125
18987,37658,1262
7911,59494,1120
51899,57278,26254
74367,42722,3048
5063,24051,783
26899,20886,2663
93671,29114,3011
85443,15823,1822
68671,82595,1168
949,46835,207
53797,81013,1114
43354,2848,743
8544,94620,191
57278,88608,777
16772,64241,183
15506,33861,346
3481,21835,179
52532,61076,204
44937,91456,128
60759,53165,205
95886,80063,16485
7278,64557,913
40823,12025,1476
69937,99051,3118
98101,59494,1720
41772,45886,688
14241,52848,229
95253,58861,745
13608,50000,193
30063,84810,196
81962,316,1715
78165,59177,3161
39557,69304,3031
77848,14557,1462
